NNP4,VivianaNET,DianitaNET,MorochaNET,CentavitoNET,LeticiaNET,MuchiraNET,SorayaNET,VivianaAM,DianitaAM,MorochaAM,CentavitoAM,LeticiaAM,MuchiraAM,SorayaAM,VivianaPM, DianitaPM,MorochaPM,CentavitoPM,LeticiaPM,MuchiraPM,SorayaPM
135,14.2,11.8,15,13.8,9.8,16,8.6,6.6,8.2,11,3.4,6,5.6,10,7.6,3.6,4,10.4,3.8,3,6
136,11.2,10.2,12.4,14.2,8,12.2,8.4,7.2,7,9.2,4,5,5.4,8,4,3.2,3.2,10.2,3,3,4.2
137,11.16,12,13,12.8,10,14.2,8.4,6.96,6,9,4,7,5.4,9.2,4.2,6,4,8.8,3,3,5
138,10.6,11.2,12.9,15.8,11.4,13.4,7.3,7,7,9.5,4,7.6,4.5,8.6,3.6,4.2,3.4,11.8,3.8,2.8,4.8
139,11,7.6,13,7.8,7.6,14.2,6.6,6.6,7.6,9,3.4,2.6,3.4,10,4.4,0,4,4.4,5,3.2,4.2
140,12.8,7.4,15.2,14.2,8,12.6,11.8,8.6,7.4,11.6,5.2,6.4,5.8,5.6,4.2,0,3.6,9,1.6,6,7
141,10.2,11.2,11,16.29,11.8,12.2,7.2,6.4,7.8,8,4.4,7.2,5,8.2,3.8,3.4,3,11.89,4.6,2.2,4
142,13.8,15.8,11,16.4,11.2,14,7.6,9.8,8,8,4.8,7.2,5.2,8.6,4,7.8,3,11.6,4,2.4,5.4
143,10.6,11,12.4,13.3,11.4,11.8,6.8,6.2,7,9.8,2.6,8.4,4.8,7.8,4.4,4,2.6,10.7,3,2,4
144,12.1,11.2,12.4,14.9,11.2,14.4,7.8,8.2,7.4,8.2,4.1,7.8,5.2,9.2,3.9,3.8,4.2,10.8,3.4,2.6,5.2
145,9.8,11.4,14.1,14.4,11.2,9.2,7.5,7,5.4,9.6,3,7.2,4.9,6.3,2.8,6,4.5,11.4,4,2.6,2.9
146,12.8,10.8,12.4,13,9.6,9,7.8,8.8,7.4,8.4,3.2,5.8,5,6,4,3.4,4,9.8,3.8,2.8,3
147,13,9.8,13.2,15.6,11,0,3.8,9.2,7.8,9.2,6.6,9.6,1.8,0,3.8,2,4,9,1.4,2,0
